season,week,team_id,team_name,score,opp_id,opp_name,opp_score,outcome,is_playoff
2024,8,8,Kittl' Bits,117.54,10,We Are Climbing High,87.36,W,False
2024,8,1,2 Brothers In a Chiefs Van,91.86,9,Pirates of the Pancreas,112.14,L,False
2024,8,9,Pirates of the Pancreas,112.14,1,2 Brothers In a Chiefs Van,91.86,W,False
2024,9,8,Kittl' Bits,137.3,3,Three unmuscular Michaels jr.,77.4,W,False
2024,9,3,Three unmuscular Michaels jr.,77.4,8,Kittl' Bits,137.3,L,False
2024,9,4,Ants In My Eyes Jackson,105.4,2,Violent Tyreek Roadshow,109.2,L,False
2024,9,2,Violent Tyreek Roadshow,109.2,4,Ants In My Eyes Jackson,105.4,W,False
2024,9,5,Mike Evans down your Vincents,95.86,10,We Are Climbing High,104.82,L,False
2024,9,10,We Are Climbing High,104.82,5,Mike Evans down your Vincents,95.86,W,False
2024,9,7,FootBall Fondlers,108.3,1,2 Brothers In a Chiefs Van,108.94,L,False
2024,9,1,2 Brothers In a Chiefs Van,108.94,7,FootBall Fondlers,108.3,W,False
2024,9,6,MT KilledbyLamaro,78.98,9,Pirates of the Pancreas,133.06,L,False
2024,9,9,Pirates of the Pancreas,133.06,6,MT KilledbyLamaro,78.98,W,False
2024,10,4,Ants In My Eyes Jackson,113.6,5,Mike Evans down your Vincents,95.4,W,False
2024,10,5,Mike Evans down your Vincents,95.4,4,Ants In My Eyes Jackson,113.6,L,False
2024,10,10,We Are Climbing High,117.62,6,MT KilledbyLamaro,71.16,W,False
2024,10,6,MT KilledbyLamaro,71.16,10,We Are Climbing High,117.62,L,False
2024,10,1,2 Brothers In a Chiefs Van,120.44,3,Three unmuscular Michaels jr.,69.54,W,False
2024,10,3,Three unmuscular Michaels jr.,69.54,1,2 Brothers In a Chiefs Van,120.44,L,False
2024,10,9,Pirates of the Pancreas,53.88,2,Violent Tyreek Roadshow,97.58,L,False
2024,10,2,Violent Tyreek Roadshow,97.58,9,Pirates of the Pancreas,53.88,W,False
2024,10,8,Kittl' Bits,94.54,7,FootBall Fondlers,99.4,L,False
2024,10,7,FootBall Fondlers,99.4,8,Kittl' Bits,94.54,W,False
2024,11,10,We Are Climbing High,97.74,3,Three unmuscular Michaels jr.,86.24,W,False
2024,11,3,Three unmuscular Michaels jr.,86.24,10,We Are Climbing High,97.74,L,False
2024,11,9,Pirates of the Pancreas,114.04,1,2 Brothers In a Chiefs Van,96.64,W,False
2024,11,1,2 Brothers In a Chiefs Van,96.64,9,Pirates of the Pancreas,114.04,L,False
2024,11,6,MT KilledbyLamaro,113.38,5,Mike Evans down your Vincents,79.1,W,False
2024,11,5,Mike Evans down your Vincents,79.1,6,MT KilledbyLamaro,113.38,L,False
2024,11,4,Ants In My Eyes Jackson,115.28,8,Kittl' Bits,79.84,W,False
2024,11,8,Kittl' Bits,79.84,4,Ants In My Eyes Jackson,115.28,L,False
2024,11,2,Violent Tyreek Roadshow,108.34,7,FootBall Fondlers,116.18,L,False
2024,11,7,FootBall Fondlers,116.18,2,Violent Tyreek Roadshow,108.34,W,False
2024,12,4,Ants In My Eyes Jackson,67.38,1,2 Brothers In a Chiefs Van,86.92,L,False
2024,12,1,2 Brothers In a Chiefs Van,86.92,4,Ants In My Eyes Jackson,67.38,W,False
2024,12,7,FootBall Fondlers,87.48,10,We Are Climbing High,84.66,W,False
2024,12,10,We Are Climbing High,84.66,7,FootBall Fondlers,87.48,L,False
2024,12,9,Pirates of the Pancreas,136.0,5,Mike Evans down your Vincents,91.7,W,False
2024,12,5,Mike Evans down your Vincents,91.7,9,Pirates of the Pancreas,136.0,L,False
2024,12,8,Kittl' Bits,114.26,2,Violent Tyreek Roadshow,92.46,W,False
2024,12,2,Violent Tyreek Roadshow,92.46,8,Kittl' Bits,114.26,L,False
2024,12,6,MT KilledbyLamaro,67.52,3,Three unmuscular Michaels jr.,113.3,L,False
2024,12,3,Three unmuscular Michaels jr.,113.3,6,MT KilledbyLamaro,67.52,W,False
2024,13,9,Pirates of the Pancreas,109.64,3,Three unmuscular Michaels jr.,132.9,L,False
2024,13,3,Three unmuscular Michaels jr.,132.9,9,Pirates of the Pancreas,109.64,W,False
2024,13,1,2 Brothers In a Chiefs Van,85.04,8,Kittl' Bits,59.6,W,False
2024,13,8,Kittl' Bits,59.6,1,2 Brothers In a Chiefs Van,85.04,L,False
2024,13,5,Mike Evans down your Vincents,140.66,7,FootBall Fondlers,135.48,W,False
2024,13,7,FootBall Fondlers,135.48,5,Mike Evans down your Vincents,140.66,L,False
2024,13,10,We Are Climbing High,91.96,2,Violent Tyreek Roadshow,105.42,L,False
2024,13,2,Violent Tyreek Roadshow,105.42,10,We Are Climbing High,91.96,W,False
2024,13,6,MT KilledbyLamaro,94.08,4,Ants In My Eyes Jackson,104.02,L,False
2024,13,4,Ants In My Eyes Jackson,104.02,6,MT KilledbyLamaro,94.08,W,False
2024,14,1,2 Brothers In a Chiefs Van,109.24,9,Pirates of the Pancreas,95.2,W,True
2024,14,9,Pirates of the Pancreas,95.2,1,2 Brothers In a Chiefs Van,109.24,L,True
2024,14,8,Kittl' Bits,122.8,5,Mike Evans down your Vincents,88.36,W,True
2024,14,5,Mike Evans down your Vincents,88.36,8,Kittl' Bits,122.8,L,True
2024,14,4,Ants In My Eyes Jackson,126.28,7,FootBall Fondlers,109.48,W,True
2024,14,7,FootBall Fondlers,109.48,4,Ants In My Eyes Jackson,126.28,L,True
2024,14,10,We Are Climbing High,128.06,2,Violent Tyreek Roadshow,101.22,W,True
2024,14,2,Violent Tyreek Roadshow,101.22,10,We Are Climbing High,128.06,L,True
2024,14,3,Three unmuscular Michaels jr.,96.58,6,MT KilledbyLamaro,131.12,L,True
